runner_name,gender,elo,rank
hayden hawks,M,1029.0835142918954,1
caleb olson,M,991.1269657221295,2
david sinclair,M,980.0130056985118,3
eli hemming,M,978.453456019166,4
david roche,M,964.049538743451,5
katie schide,F,956.704990372048,1
ben dhiman,M,942.221881823122,6
daniel jones,M,935.6904910204798,7
haroldas subertas,M,932.7517606841031,8
francesco puppi,M,929.7772194137733,9
hannah osowski,F,929.5978282927738,2
adam peterman,M,928.0335817569023,10
cole campbell,M,919.2261927607603,11
mary denholm,F,906.3226584777361,3
rachel drake,F,900.9209520280264,4
ramon manetsch,M,899.2394838323943,12
emily hawgood,F,888.1584196980032,5
ruth croft,F,887.1696601863213,6
rod farvard,M,886.8391910847246,13
courtney dauwalter,F,885.778154093556,7
kyle pietari,M,878.6482964446521,14
brian whitfield,M,876.5331930109238,15
joaquin lopez,M,875.0683508975674,16
riley brady,F,874.4094653428879,8
marianne hogan,F,873.0827533330777,9
toni mccann,F,871.229450538713,10
stephen kersh,M,870.5351151016824,17
anne flower,F,868.5762417660709,11
lindsay allison,F,867.1780413506303,12
ryan sullivan,M,863.716406126172,18
ludovic pommeret,M,863.112165841094,19
jonathan albon,M,860.5728811645253,20
klaire rhodes,F,860.2437204319011,13
jazmine lowther,F,859.2317039017498,14
blake slattengren,M,857.9575270900964,21
alex johnson,M,855.6000639216763,22
ionel cristian manole,M,854.7781849559964,23
darren thomas,M,852.1381715718486,24
tyler green,M,851.5050210248112,25
emkay sullivan,F,851.4538269776847,15
scott patterson,M,849.7107426821744,26
michaela trenidad,F,848.3274104088207,16
nate rengo,M,848.277436504279,27
martin kern,M,847.7041381201147,28
matt daniels,M,847.4935191494299,29
christine tokarz,F,846.5738066106018,17
makai clemons,M,844.0523795179547,30
mas aleix toda,M,841.8831395091444,31
lauren puretz,F,841.2032130409312,18
chris myers,M,840.6989557752482,32
clémentine geoffray,F,840.0355550473856,19
aymerich andreu simon,M,837.5808817801033,33
tracen knopp,M,835.7352523255715,34
daniella moreno,F,835.3732994144052,20
ryan becker,M,835.2384507342922,35
abel carretero,M,832.9783042729537,36
vincent bouillard,M,832.777240656095,37
laurie nakauchi,F,828.3274104088207,21
zoe rom,F,826.4357998068467,22
leah yingling,F,825.5934971970039,23
leah yingling,FALSE,825.5934971970039,1
diego pazos,M,822.8933270910995,38
jiasheng shen,M,822.7784730795963,39
