id,brand,model,modifier,version,year_of_release,retail_cost,arch_support,trail_terrain,weight,drop,midsole_softness,has_plate,plate,toebox_durability,heel_padding_durability,outsole_durability,breathability,lug_depth,heel_stack,forefoot_height
,ASICS,Gel Venture,,9,2023,,,,,,,,,,,,,,,
,ASICS,Gel Venture,,8,2023,,,,,,,,,,,,,,,
,New Balance,Fresh Foam X Hierro,,8,2024,,,,,,,,,,,,,,,
,New Balance,Tektrel,,1,2024,,,,,,,,,,,,,,,
,New Balance,Dynasoft Nitrel,,6,2024,,,,,,,,,,,,,,,
,New Balance,510,,6,2024,,,,,,,,,,,,,,,
,New Balance,Fresh Foam X More Trail,,3,2023,,,,,,,,,,,,,,,
,Saucony,Peregrine,,14,2024,,,,,,,,,,,,,,,
,Saucony,Xodus Ultra,,2,2024,,,,,,,,,,,,,,,
,Saucony,Xodus Ultra,,3,2024,,,,,,,,,,,,,,,
,Saucony,Endorphin,Rift,1,2024,,,,,,,,,,,,,,,
,Saucony,Peregrine,,13,2023,,,,,,,,,,,,,,,
,Brooks,Caldera,,7,2024,,,,,,,,,,,,,,,
,Brooks,Caldera,,6,2024,,,,,,,,,,,,,,,
,Brooks,Cascadia,,18,2024,,,,,,,,,,,,,,,
,Brooks,Catamount,,3,2024,,,,,,,,,,,,,,,
,Brooks,Divide,,3,2024,,,,,,,,,,,,,,,
,Brooks,Cascadia,,17,2023,,,,,,,,,,,,,,,
,Brooks,Catamount,,2,2023,,,,,,,,,,,,,,,
,Brooks,Divide,,4,2024,,,,,,,,,,,,,,,
,On,Cloudsurfer,Trail,1,2024,,,,,,,,,,,,,,,
,On,Cloudultra,,2,2024,,,,,,,,,,,,,,,
,On,Cloudvista,,2,2024,,,,,,,,,,,,,,,
,On,Cloudvista,,1,2023,,,,,,,,,,,,,,,
,Altra,Lone Peak,,8,2024,,,,,,,,,,,,,,,
,Altra,Olympus,,6,2024,,,,,,,,,,,,,,,
,Altra,Timp,,5,2024,,,,,,,,,,,,,,,
,Altra,Superior,,6,2024,,,,,,,,,,,,,,,
,Altra,Mont Blanc,Carbon,1,2024,,,,,,,,,,,,,,,
,Altra,Outroad,,3,2024,,,,,,,,,,,,,,,
,Altra,Outroad,,2,2023,,,,,,,,,,,,,,,
,Altra,Lone Peak,,7,2023,,,,,,,,,,,,,,,
,Merrell,Agility Peak,,5,2024,,,,,,,,,,,,,,,
,Merrell,Morphlite,,1,2024,,,,,,,,,,,,,,,
,Merrell,Fly Strike,,1,2024,,,,,,,,,,,,,,,
,Merrell,Agility Peak,GTX,5,2024,,,,,,,,,,,,,,,
,Merrell,Agility Peak,,4,2024,,,,,,,,,,,,,,,
,Merrell,Nova,,3,2023,,,,,,,,,,,,,,,
,Merrell,Trail Glove,,7,2023,,,,,,,,,,,,,,,
,Adidas Terrex,Speed Ultra,,1,2021,,,,,,,,,,,,,,,
,La Sportive,Prodigio,,1,2024,,,,,,,,,,,,,,,
,La Sportiva,Mutant,,1,2024,,,,,,,,,,,,,,,
,Nike,Pegasus,,41,2024,,,,,,,,,,,,,,,
,Nike,Vomero,,17,2024,,,,,,,,,,,,,,,
,Nike,Alphafly,,3,2024,,,,,,,,,,,,,,,
,Nike,Zoom Fly,,6,2025,,,,,,,,,,,,,,,
,Nike,Vaporfly,,3,2023,,,,,,,,,,,,,,,
,Nike,Invincible,,3,2023,,,,,,,,,,,,,,,
,Nike,Pegasus,,40,2023,,,,,,,,,,,,,,,
,Nike,Zoom Fly,,5,2023,,,,,,,,,,,,,,,
,Adidas,Adizero Adios,Pro,4,2025,,,,,,,,,,,,,,,
,Adidas,Adizero Prime,X,2,2024,,,,,,,,,,,,,,,
,Adidas,Adizero Adios,Pro,3,2023,,,,,,,,,,,,,,,
,Adidas,Adizero Boston,,11,2023,,,,,,,,,,,,,,,
