,First Name,Last Name,Bib,Gender Pos,Split Name,Time of Day,Distance,Hours,Minutes,Seconds,Milliseconds
30,Joe,McConaughy,17,M3,Doe Spring,Sat 1:05:00 PM,57.5 mi,7,05,00,000
31,Joe,McConaughy,17,M3,Finish,Sat 1:31:37 PM,62.2 mi,7,31,37,630
32,Eli,Hemming,19,M4,Start,Sat 5:59:46 AM,0.0 mi,00,00,00,000
33,Eli,Hemming,19,M4,Hidden Treasure,Sat 7:19:31 AM,12.8 mi,1,19,31,619
34,Eli,Hemming,19,M4,Bumble Bee,Sat 8:00:43 AM,19.2 mi,2,00,43,710
35,Eli,Hemming,19,M4,Gloriana Mine,Sat 8:32:18 AM,23.8 mi,2,32,18,639
36,Eli,Hemming,19,M4,Deep Canyon Ranch,Sat 9:31:32 AM,32.2 mi,3,31,32,359
37,Eli,Hemming,19,M4,Black Canyon City,Sat 10:09:22 AM,37.7 mi,4,09,22,010
38,Eli,Hemming,19,M4,Cottonwood Gulch,Sat 11:18:37 AM,45.3 mi,5,18,37,978
39,Eli,Hemming,19,M4,Table Mesa,Sat 11:56:17 AM,49.4 mi,5,56,17,479
40,Eli,Hemming,19,M4,Doe Spring,Sat 1:08:00 PM,57.5 mi,7,08,00,000
41,Eli,Hemming,19,M4,Finish,Sat 1:32:41 PM,62.2 mi,7,32,41,508
42,Canhua,Luo,644,M5,Start,Sat 5:59:58 AM,0.0 mi,00,00,00,000
43,Canhua,Luo,644,M5,Antelope Mesa,Sat 6:48:30 AM,7.6 mi,00,48,30,170
44,Canhua,Luo,644,M5,Hidden Treasure,Sat 7:21:03 AM,12.8 mi,1,21,03,640
45,Canhua,Luo,644,M5,Bumble Bee,Sat 8:04:54 AM,19.2 mi,2,04,54,960
46,Canhua,Luo,644,M5,Gloriana Mine,Sat 8:37:26 AM,23.8 mi,2,37,26,709
47,Canhua,Luo,644,M5,Deep Canyon Ranch,Sat 9:38:20 AM,32.2 mi,3,38,20,620
48,Canhua,Luo,644,M5,Black Canyon City,Sat 10:18:44 AM,37.7 mi,4,18,44,679
49,Canhua,Luo,644,M5,Cottonwood Gulch,Sat 11:26:27 AM,45.3 mi,5,26,27,779
50,Canhua,Luo,644,M5,Table Mesa,Sat 12:02:49 PM,49.4 mi,6,02,49,579
51,Canhua,Luo,644,M5,Doe Spring,Sat 1:11:00 PM,57.5 mi,7,11,00,000
52,Canhua,Luo,644,M5,Finish,Sat 1:36:38 PM,62.2 mi,7,36,38,149
53,Elliot,Cardin,73,M6,Start,Sat 5:55:29 AM,0.0 mi,00,00,00,000
54,Elliot,Cardin,73,M6,Antelope Mesa,Sat 6:47:33 AM,7.6 mi,00,47,33,509
55,Elliot,Cardin,73,M6,Hidden Treasure,Sat 7:19:36 AM,12.8 mi,1,19,36,618
56,Elliot,Cardin,73,M6,Bumble Bee,Sat 8:01:31 AM,19.2 mi,2,01,31,529
57,Elliot,Cardin,73,M6,Gloriana Mine,Sat 8:34:16 AM,23.8 mi,2,34,16,670
58,Elliot,Cardin,73,M6,Deep Canyon Ranch,Sat 9:36:13 AM,32.2 mi,3,36,13,829
59,Elliot,Cardin,73,M6,Black Canyon City,Sat 10:18:14 AM,37.7 mi,4,18,14,559
60,Elliot,Cardin,73,M6,Cottonwood Gulch,Sat 11:30:39 AM,45.3 mi,5,30,39,758
61,Elliot,Cardin,73,M6,Table Mesa,Sat 12:10:00 PM,49.4 mi,6,10,00,680
62,Elliot,Cardin,73,M6,Doe Spring,Sat 1:21:00 PM,57.5 mi,7,21,00,000
63,Elliot,Cardin,73,M6,Finish,Sat 1:48:21 PM,62.2 mi,7,48,21,019
64,Gavin,Prior,820,M7,Start,Sat 6:00:04 AM,0.0 mi,00,00,04,129
65,Gavin,Prior,820,M7,Antelope Mesa,Sat 6:47:31 AM,7.6 mi,00,47,31,509
66,Gavin,Prior,820,M7,Hidden Treasure,Sat 7:19:57 AM,12.8 mi,1,19,57,630
67,Gavin,Prior,820,M7,Bumble Bee,Sat 8:02:17 AM,19.2 mi,2,02,17,260
68,Gavin,Prior,820,M7,Gloriana Mine,Sat 8:34:12 AM,23.8 mi,2,34,12,668
69,Gavin,Prior,820,M7,Deep Canyon Ranch,Sat 9:36:25 AM,32.2 mi,3,36,25,699
70,Gavin,Prior,820,M7,Black Canyon City,Sat 10:16:52 AM,37.7 mi,4,16,52,239
71,Gavin,Prior,820,M7,Cottonwood Gulch,Sat 11:32:38 AM,45.3 mi,5,32,38,219
72,Gavin,Prior,820,M7,Table Mesa,Sat 12:12:52 PM,49.4 mi,6,12,52,719
73,Gavin,Prior,820,M7,Doe Spring,Sat 1:24:00 PM,57.5 mi,7,24,00,000
74,Gavin,Prior,820,M7,Finish,Sat 1:53:11 PM,62.2 mi,7,53,11,429
75,Canyon,Woodward,1092,M8,Start,Sat 6:00:01 AM,0.0 mi,00,00,01,350
76,Canyon,Woodward,1092,M8,Antelope Mesa,Sat 6:47:26 AM,7.6 mi,00,47,26,480
77,Canyon,Woodward,1092,M8,Hidden Treasure,Sat 7:19:34 AM,12.8 mi,1,19,34,618
78,Canyon,Woodward,1092,M8,Bumble Bee,Sat 8:03:24 AM,19.2 mi,2,03,24,469
79,Canyon,Woodward,1092,M8,Gloriana Mine,Sat 8:37:28 AM,23.8 mi,2,37,28,709
80,Canyon,Woodward,1092,M8,Deep Canyon Ranch,Sat 9:40:16 AM,32.2 mi,3,40,16,530
81,Canyon,Woodward,1092,M8,Black Canyon City,Sat 10:24:11 AM,37.7 mi,4,24,11,179
82,Canyon,Woodward,1092,M8,Cottonwood Gulch,Sat 11:38:47 AM,45.3 mi,5,38,47,219
83,Canyon,Woodward,1092,M8,Table Mesa,Sat 12:18:27 PM,49.4 mi,6,18,27,809
